Date,Open,High,Low,Close,Adj Close,Volume
16/10/2020,0.246058,0.24759,0.2385,0.240443,0.240443,1656312547
17/10/2020,0.240541,0.242719,0.239218,0.240931,0.240931,1173505925
18/10/2020,0.24085,0.243419,0.240571,0.242225,0.242225,1652788747
19/10/2020,0.242308,0.249471,0.240497,0.245964,0.245964,1435700560
20/10/2020,0.245927,0.2494,0.242562,0.243573,0.243573,1526376279
21/10/2020,0.243485,0.255227,0.243179,0.251615,0.251615,2306399543
22/10/2020,0.251335,0.263463,0.251233,0.256807,0.256807,2827483708
23/10/2020,0.257326,0.259306,0.250713,0.254879,0.254879,2125734863
24/10/2020,0.254879,0.257645,0.252832,0.256431,0.256431,1590424952
25/10/2020,0.256431,0.257147,0.251745,0.253213,0.253213,1484930709
26/10/2020,0.253213,0.258408,0.244082,0.248688,0.248688,2390566065
27/10/2020,0.248688,0.253874,0.248097,0.252899,0.252899,2273574015
28/10/2020,0.2529,0.256393,0.244608,0.245865,0.245865,2375598739
29/10/2020,0.245865,0.246996,0.240312,0.242295,0.242295,5451698743
30/10/2020,0.242292,0.244,0.232828,0.239184,0.239184,2364402263
31/10/2020,0.239188,0.243219,0.237749,0.239744,0.239744,2100764094
1/11/2020,0.239739,0.24132,0.237094,0.239797,0.239797,1855741696
2/11/2020,0.239804,0.244259,0.233769,0.235421,0.235421,2412875798
3/11/2020,0.23542,0.242128,0.228772,0.23951,0.23951,3052524907
4/11/2020,0.23951,0.24039,0.233388,0.237793,0.237793,3335786074
5/11/2020,0.237799,0.247046,0.237558,0.245776,0.245776,2949508995
6/11/2020,0.24577,0.260805,0.245307,0.258445,0.258445,3282591092
7/11/2020,0.258445,0.266417,0.245585,0.249582,0.249582,3395345984
8/11/2020,0.249582,0.256735,0.247913,0.253939,0.253939,2364742336
9/11/2020,0.253939,0.25607,0.246115,0.250748,0.250748,3079413903
10/11/2020,0.250753,0.264297,0.248724,0.253911,0.253911,3488798458
11/11/2020,0.253911,0.259724,0.252842,0.256259,0.256259,2811079099
12/11/2020,0.256258,0.258081,0.252839,0.254903,0.254903,2443233108
13/11/2020,0.254903,0.265679,0.254091,0.265191,0.265191,2989109717
14/11/2020,0.265191,0.277014,0.262454,0.268342,0.268342,4433908911
15/11/2020,0.268342,0.276618,0.264645,0.269642,0.269642,3613774298
16/11/2020,0.269641,0.288008,0.268053,0.28552,0.28552,4105697051
17/11/2020,0.291796,0.304402,0.291113,0.302408,0.302408,6002566535
18/11/2020,0.302397,0.307277,0.283828,0.294222,0.294222,5684799554
19/11/2020,0.294222,0.306505,0.284643,0.303766,0.303766,5230574728
20/11/2020,0.303766,0.329393,0.298203,0.328068,0.328068,6283633942
21/11/2020,0.328068,0.463057,0.328068,0.458344,0.458344,16206296041
22/11/2020,0.458344,0.491902,0.413256,0.4437,0.4437,19097682286
23/11/2020,0.443701,0.614969,0.434732,0.61398,0.61398,20715303968
24/11/2020,0.614193,0.768019,0.577906,0.692103,0.692103,32826193388
25/11/2020,0.692154,0.719857,0.596548,0.635483,0.635483,23569614498
26/11/2020,0.634892,0.64973,0.462141,0.533019,0.533019,23673915793
27/11/2020,0.533383,0.585865,0.508714,0.559268,0.559268,18713160692
28/11/2020,0.559675,0.64455,0.54264,0.625622,0.625622,17173561815
29/11/2020,0.625742,0.634513,0.588363,0.606246,0.606246,15391721339
30/11/2020,0.606289,0.672179,0.600425,0.664337,0.664337,17398359053
1/12/2020,0.664515,0.679158,0.594348,0.612923,0.612923,16985355820
2/12/2020,0.612992,0.635897,0.598636,0.629893,0.629893,12874875863
3/12/2020,0.629995,0.640333,0.616173,0.631483,0.631483,9884297219
4/12/2020,0.631469,0.632967,0.546687,0.557262,0.557262,9629062989
5/12/2020,0.557088,0.595839,0.551785,0.584421,0.584421,8565677726
6/12/2020,0.584414,0.625878,0.581516,0.619851,0.619851,10280250882
7/12/2020,0.619714,0.622832,0.592819,0.608934,0.608934,7718537440
8/12/2020,0.608858,0.610161,0.55457,0.558836,0.558836,8302771172
9/12/2020,0.558667,0.601939,0.505983,0.58359,0.58359,12648574700
10/12/2020,0.583657,0.586856,0.556169,0.572954,0.572954,9695432997
11/12/2020,0.573062,0.583693,0.531383,0.546483,0.546483,10708202570
12/12/2020,0.546316,0.546316,0.487353,0.506401,0.506401,10925057158
13/12/2020,0.506678,0.52696,0.487282,0.511464,0.511464,8534780504
14/12/2020,0.511608,0.517141,0.490168,0.497712,0.497712,7110439196
15/12/2020,0.497688,0.50661,0.465994,0.46971,0.46971,9052977849
16/12/2020,0.469677,0.568772,0.442028,0.568628,0.568628,15158282218
17/12/2020,0.568488,0.653909,0.546419,0.576677,0.576677,21429914951
18/12/2020,0.576739,0.610361,0.552338,0.58428,0.58428,14936843250
19/12/2020,0.5842,0.601961,0.568032,0.579163,0.579163,11188586674
20/12/2020,0.57899,0.585579,0.53851,0.556058,0.556058,9611613770
21/12/2020,0.555961,0.567767,0.502857,0.516944,0.516944,9852685075
22/12/2020,0.516792,0.521599,0.410551,0.448448,0.448448,15134323976
23/12/2020,0.447966,0.447966,0.221363,0.258602,0.258602,19793483656
24/12/2020,0.259113,0.367624,0.243742,0.337819,0.337819,16742652289
25/12/2020,0.337331,0.380603,0.285174,0.318091,0.318091,16321189804
26/12/2020,0.318074,0.322314,0.287183,0.294713,0.294713,9984475081
27/12/2020,0.294758,0.307464,0.270248,0.283039,0.283039,9250325478
28/12/2020,0.283366,0.306016,0.239413,0.247958,0.247958,8389871765
29/12/2020,0.247673,0.248318,0.174831,0.220962,0.220962,12970077098
30/12/2020,0.220902,0.23536,0.19467,0.211828,0.211828,8894036560
31/12/2020,0.211787,0.227613,0.206465,0.219846,0.219846,5363979601
1/1/2021,0.219845,0.24927,0.217288,0.237444,0.237444,5888429287
2/1/2021,0.23767,0.238388,0.215816,0.221655,0.221655,4773658725
3/1/2021,0.221744,0.237741,0.217167,0.225848,0.225848,5109898871
4/1/2021,0.226038,0.256477,0.219722,0.236677,0.236677,6141918380
5/1/2021,0.236636,0.241251,0.221602,0.22675,0.22675,5378491929
6/1/2021,0.226866,0.269158,0.223464,0.250895,0.250895,7552726810
7/1/2021,0.250926,0.365296,0.24781,0.326002,0.326002,15955049240
8/1/2021,0.326089,0.345916,0.291539,0.32323,0.32323,9825829516
9/1/2021,0.323156,0.339859,0.307895,0.326916,0.326916,7184429145
10/1/2021,0.326833,0.365221,0.292159,0.318336,0.318336,9647740012
11/1/2021,0.317941,0.317941,0.259468,0.288905,0.288905,9787288503
12/1/2021,0.288677,0.309924,0.27937,0.292123,0.292123,6557418314
13/1/2021,0.292028,0.308798,0.286889,0.30558,0.30558,4831812051
14/1/2021,0.305536,0.308343,0.284211,0.295438,0.295438,5277189444
15/1/2021,0.295569,0.301757,0.264747,0.280406,0.280406,4955409029
16/1/2021,0.280292,0.295191,0.27701,0.280188,0.280188,4116256007
17/1/2021,0.280067,0.285268,0.270652,0.277384,0.277384,3488557208
18/1/2021,0.277372,0.287624,0.272637,0.284769,0.284769,3239112861
19/1/2021,0.284826,0.326188,0.283997,0.294314,0.294314,5583136814
20/1/2021,0.294219,0.308621,0.281986,0.296518,0.296518,4528341598
21/1/2021,0.296466,0.306218,0.263124,0.268946,0.268946,4453463443
22/1/2021,0.268776,0.277843,0.244917,0.272799,0.272799,4501765714
23/1/2021,0.272611,0.282623,0.266979,0.271821,0.271821,3018882841
24/1/2021,0.27184,0.277425,0.270216,0.273509,0.273509,2472431875
25/1/2021,0.273473,0.282417,0.2688,0.269089,0.269089,2925493997
26/1/2021,0.269049,0.271104,0.259708,0.268827,0.268827,2790821503
27/1/2021,0.268856,0.268972,0.245532,0.251943,0.251943,2940937079
28/1/2021,0.251915,0.260304,0.248786,0.257278,0.257278,2935777810
29/1/2021,0.27053,0.310194,0.260488,0.282188,0.282188,8031899348
30/1/2021,0.282152,0.489346,0.279825,0.440244,0.440244,24417465997
